ID,SEX,PROGRAM,YEAR LEVEL,FIRSTNAME,LASTNAME
2024-4475,Male,BSARCH,First Year,Kevin,Durant
2023-5658,Female,,Second Year,Hazel,Ortiz
2022-6840,Male,BSECE,Third Year,Adrian,Scott
2021-7012,Female,BSEDENG,Fourth Year,Layla,Ramirez
2024-8284,Male,BSME,First Year,Leo,Campbell
2023-9565,Female,BSIT,Second Year,Lillian,Stewart
2022-0737,Male,BSA,Third Year,Tristan,Bailey
2021-1910,Female,BSPHYS,Fourth Year,Eleanor,Henderson
2024-2192,Male,BAPOLSCI,First Year,Nicholas,Patterson
2023-3474,Female,BSCHEM,Second Year,Leah,Carter
2022-4656,Male,BSPUBH,Third Year,Connor,Phillips
2021-5839,Female,BAHIS,Fourth Year,Audrey,Mitchell
2024-6010,Male,BSBIO,First Year,Gavin,Roberts
2023-7282,Female,BSCE,Second Year,Brooklyn,Taylor
2022-8465,Male,BSN,Third Year,Brandon,Turner
2021-9647,Female,BSPSY,Fourth Year,Madeline,Hill
2024-0919,Male,BSCS,First Year,Jose,Flores
2023-2191,Female,BSEDMATH,Second Year,Aubrey,Coleman
